Entity,Code,Year,Annual COâ‚‚ emissions
China,CHN,1980,1494495900
China,CHN,1981,1476487800
China,CHN,1982,1606585000
China,CHN,1983,1694216800
China,CHN,1984,1844828000
China,CHN,1985,1998083000
China,CHN,1986,2104213400
China,CHN,1987,2257738500
China,CHN,1988,2425893600
China,CHN,1989,2463654400
China,CHN,1990,2484854800
China,CHN,1991,2606096100
China,CHN,1992,2730787600
China,CHN,1993,2921651000
China,CHN,1994,3103739000
China,CHN,1995,3361637000
China,CHN,1996,3508818200
China,CHN,1997,3515594200
China,CHN,1998,3364587500
China,CHN,1999,3557274600
China,CHN,2000,3649226500
China,CHN,2001,3728509700
China,CHN,2002,4103046400
China,CHN,2003,4841118700
China,CHN,2004,5217351000
China,CHN,2005,5882106400
China,CHN,2006,6494330400
China,CHN,2007,6983547400
China,CHN,2008,7501497300
China,CHN,2009,7891078000
China,CHN,2010,8620576000
China,CHN,2011,9532332000
China,CHN,2012,9779292000
China,CHN,2013,9956329000
China,CHN,2014,9990257000
China,CHN,2015,9863457000
China,CHN,2016,9762714000
China,CHN,2017,10006343000
China,CHN,2018,10332993000
China,CHN,2019,10713984000
China,CHN,2020,10905693000
China,CHN,2021,11447913000
Greece,GRC,1980,50888696
Greece,GRC,1981,50125424
Greece,GRC,1982,51508770
Greece,GRC,1983,54789372
Greece,GRC,1984,56284932
Greece,GRC,1985,59771930
Greece,GRC,1986,58274420
Greece,GRC,1987,62576332
Greece,GRC,1988,67051870
Greece,GRC,1989,73230810
Greece,GRC,1990,83438040
Greece,GRC,1991,83407500
Greece,GRC,1992,84975656
Greece,GRC,1993,84284960
Greece,GRC,1994,86430260
Greece,GRC,1995,86963200
Greece,GRC,1996,89114950
Greece,GRC,1997,93801560
Greece,GRC,1998,98621790
Greece,GRC,1999,97934820
Greece,GRC,2000,102973170
Greece,GRC,2001,105361864
Greece,GRC,2002,105000510
Greece,GRC,2003,109066730
Greece,GRC,2004,109485270
Greece,GRC,2005,113888960
Greece,GRC,2006,112419550
Greece,GRC,2007,114545700
Greece,GRC,2008,111080376
Greece,GRC,2009,104319840
Greece,GRC,2010,97354150
Greece,GRC,2011,94505230
Greece,GRC,2012,91392584
Greece,GRC,2013,81713256
Greece,GRC,2014,78635700
Greece,GRC,2015,74926660
Greece,GRC,2016,71359600
Greece,GRC,2017,74841750
Greece,GRC,2018,71778104
Greece,GRC,2019,65736276
Greece,GRC,2020,55558176
Greece,GRC,2021,57519204
India,IND,1980,291711100
India,IND,1981,314966180
India,IND,1982,325380000
India,IND,1983,352198850
India,IND,1984,361559460
India,IND,1985,397592100
India,IND,1986,426309380
India,IND,1987,455343040
India,IND,1988,491692160
India,IND,1989,540651100
India,IND,1990,577996000
India,IND,1991,615365000
India,IND,1992,655447040
India,IND,1993,677299260
India,IND,1994,714063740
India,IND,1995,760461630
India,IND,1996,823620700
India,IND,1997,858011200
India,IND,1998,875772350
India,IND,1999,960762940
India,IND,2000,986444700
India,IND,2001,1000526700
India,IND,2002,1032139800
India,IND,2003,1067736960
India,IND,2004,1133827600
India,IND,2005,1194592400
India,IND,2006,1292484600
India,IND,2007,1392506000
India,IND,2008,1489437400
India,IND,2009,1612216300
India,IND,2010,1677337200
India,IND,2011,1764712400
India,IND,2012,1925699700
India,IND,2013,1995098100
India,IND,2014,2148343800
India,IND,2015,2234219500
India,IND,2016,2354658000
India,IND,2017,2426606800
India,IND,2018,2593057800
India,IND,2019,2612888000
India,IND,2020,2421552000
India,IND,2021,2674221800
United Kingdom,GBR,1980,579035400
United Kingdom,GBR,1981,560554500
United Kingdom,GBR,1982,548240400
United Kingdom,GBR,1983,545485100
United Kingdom,GBR,1984,529108160
United Kingdom,GBR,1985,559627300
United Kingdom,GBR,1986,568554000
United Kingdom,GBR,1987,571667600
United Kingdom,GBR,1988,570293760
United Kingdom,GBR,1989,581576100
United Kingdom,GBR,1990,601945100
United Kingdom,GBR,1991,609412700
United Kingdom,GBR,1992,593845950
United Kingdom,GBR,1993,579612540
United Kingdom,GBR,1994,574016900
United Kingdom,GBR,1995,566158900
United Kingdom,GBR,1996,586760700
United Kingdom,GBR,1997,562708160
United Kingdom,GBR,1998,568543700
United Kingdom,GBR,1999,561649600
United Kingdom,GBR,2000,569033660
United Kingdom,GBR,2001,577970560
United Kingdom,GBR,2002,560273200
United Kingdom,GBR,2003,571618750
United Kingdom,GBR,2004,573429760
United Kingdom,GBR,2005,570338370
United Kingdom,GBR,2006,567845600
United Kingdom,GBR,2007,559566460
United Kingdom,GBR,2008,544932400
United Kingdom,GBR,2009,494107700
United Kingdom,GBR,2010,511904580
United Kingdom,GBR,2011,469713300
United Kingdom,GBR,2012,487476770
United Kingdom,GBR,2013,477611260
United Kingdom,GBR,2014,438807070
United Kingdom,GBR,2015,422460800
United Kingdom,GBR,2016,399430140
United Kingdom,GBR,2017,387367140
United Kingdom,GBR,2018,379729760
United Kingdom,GBR,2019,364753280
United Kingdom,GBR,2020,326263200
United Kingdom,GBR,2021,344510080
United States,USA,1980,4808877600
United States,USA,1981,4686743000
United States,USA,1982,4447602000
United States,USA,1983,4429711000
United States,USA,1984,4662488000
United States,USA,1985,4652938000
United States,USA,1986,4663711000
United States,USA,1987,4826012700
United States,USA,1988,5050858500
United States,USA,1989,5132543500
United States,USA,1990,5120957000
United States,USA,1991,5062956500
United States,USA,1992,5174227500
United States,USA,1993,5272850400
United States,USA,1994,5364279300
United States,USA,1995,5425259500
United States,USA,1996,5612983000
United States,USA,1997,5688142300
United States,USA,1998,5733281000
United States,USA,1999,5803918000
United States,USA,2000,6010135600
United States,USA,2001,5907739600
United States,USA,2002,5946308000
United States,USA,2003,6010145300
United States,USA,2004,6112655000
United States,USA,2005,6132183000
United States,USA,2006,6052686000
United States,USA,2007,6130123000
United States,USA,2008,5915118600
United States,USA,2009,5480725500
United States,USA,2010,5679715300
United States,USA,2011,5546116000
United States,USA,2012,5344086000
United States,USA,2013,5480156700
United States,USA,2014,5528681000
United States,USA,2015,5376473000
United States,USA,2016,5252932000
United States,USA,2017,5212162000
United States,USA,2018,5377797000
United States,USA,2019,5262145000
United States,USA,2020,4714628000
United States,USA,2021,5032213000