Entity,Code,Year,Annual COâ‚‚ emissions growth (%)
China,CHN,1980,-2.0427406
China,CHN,1981,-1.2049615
China,CHN,1982,8.811259
China,CHN,1983,5.4545403
China,CHN,1984,8.889723
China,CHN,1985,8.307278
China,CHN,1986,5.3116083
China,CHN,1987,7.2960854
China,CHN,1988,7.447946
China,CHN,1989,1.5565753
China,CHN,1990,0.8605242
China,CHN,1991,4.8792124
China,CHN,1992,4.784608
China,CHN,1993,6.989312
China,CHN,1994,6.232369
China,CHN,1995,8.30928
China,CHN,1996,4.378259
China,CHN,1997,0.19311905
China,CHN,1998,-4.295337
China,CHN,1999,5.7269216
China,CHN,2000,2.5848985
China,CHN,2001,2.1726012
China,CHN,2002,10.045206
China,CHN,2003,17.988396
China,CHN,2004,7.7715993
China,CHN,2005,12.741243
China,CHN,2006,10.408247
China,CHN,2007,7.53299
China,CHN,2008,7.416713
China,CHN,2009,5.1933765
China,CHN,2010,9.244585
China,CHN,2011,10.57651
China,CHN,2012,2.5907636
China,CHN,2013,1.8103242
China,CHN,2014,0.34075975
China,CHN,2015,-1.2692332
China,CHN,2016,-1.0213792
China,CHN,2017,2.4955034
China,CHN,2018,3.2644272
China,CHN,2019,3.6871314
China,CHN,2020,1.7893314
China,CHN,2021,4.9718976
Greece,GRC,1980,0.13772249
Greece,GRC,1981,-1.4998853
Greece,GRC,1982,2.7597666
Greece,GRC,1983,6.3690186
Greece,GRC,1984,2.7296543
Greece,GRC,1985,6.195259
Greece,GRC,1986,-2.505368
Greece,GRC,1987,7.3821664
Greece,GRC,1988,7.152128
Greece,GRC,1989,9.215153
Greece,GRC,1990,13.938438
Greece,GRC,1991,-0.036597252
Greece,GRC,1992,1.8801093
Greece,GRC,1993,-0.8128166
Greece,GRC,1994,2.5452852
Greece,GRC,1995,0.616622
Greece,GRC,1996,2.47432
Greece,GRC,1997,5.259061
Greece,GRC,1998,5.138755
Greece,GRC,1999,-0.69657564
Greece,GRC,2000,5.144596
Greece,GRC,2001,2.3197293
Greece,GRC,2002,-0.34296513
Greece,GRC,2003,3.8725734
Greece,GRC,2004,0.38374662
Greece,GRC,2005,4.022169
Greece,GRC,2006,-1.2902141
Greece,GRC,2007,1.8912554
Greece,GRC,2008,-3.0252755
Greece,GRC,2009,-6.0861645
Greece,GRC,2010,-6.6772404
Greece,GRC,2011,-2.9263496
Greece,GRC,2012,-3.2936275
Greece,GRC,2013,-10.590935
Greece,GRC,2014,-3.7662923
Greece,GRC,2015,-4.716736
Greece,GRC,2016,-4.7607303
Greece,GRC,2017,4.879725
Greece,GRC,2018,-4.093504
Greece,GRC,2019,-8.417368
Greece,GRC,2020,-15.483231
Greece,GRC,2021,3.5296798
India,IND,1980,5.583501
India,IND,1981,7.9719543
India,IND,1982,3.3063293
India,IND,1983,8.242321
India,IND,1984,2.6577592
India,IND,1985,9.965897
India,IND,1986,7.2227955
India,IND,1987,6.8104625
India,IND,1988,7.9828024
India,IND,1989,9.95723
India,IND,1990,6.9074035
India,IND,1991,6.465268
India,IND,1992,6.513536
India,IND,1993,3.3339381
India,IND,1994,5.4280996
India,IND,1995,6.497729
India,IND,1996,8.305359
India,IND,1997,4.175532
India,IND,1998,2.0700336
India,IND,1999,9.704649
India,IND,2000,2.6730537
India,IND,2001,1.4275551
India,IND,2002,3.1596422
India,IND,2003,3.4488678
India,IND,2004,6.1897874
India,IND,2005,5.359268
India,IND,2006,8.194613
India,IND,2007,7.7386856
India,IND,2008,6.9609404
India,IND,2009,8.243311
India,IND,2010,4.039216
India,IND,2011,5.20916
India,IND,2012,9.122574
India,IND,2013,3.603804
India,IND,2014,7.6811075
India,IND,2015,3.997302
India,IND,2016,5.390632
India,IND,2017,3.0555964
India,IND,2018,6.85941
India,IND,2019,0.7647395
India,IND,2020,-7.3227763
India,IND,2021,10.434198
United Kingdom,GBR,1980,-10.159206
United Kingdom,GBR,1981,-3.1916678
United Kingdom,GBR,1982,-2.196771
United Kingdom,GBR,1983,-0.5025625
United Kingdom,GBR,1984,-3.002274
United Kingdom,GBR,1985,5.768037
United Kingdom,GBR,1986,1.5951037
United Kingdom,GBR,1987,0.54763556
United Kingdom,GBR,1988,-0.24031997
United Kingdom,GBR,1989,1.9783378
United Kingdom,GBR,1990,3.502369
United Kingdom,GBR,1991,1.2405753
United Kingdom,GBR,1992,-2.554381
United Kingdom,GBR,1993,-2.396816
United Kingdom,GBR,1994,-0.9654105
United Kingdom,GBR,1995,-1.3689458
United Kingdom,GBR,1996,3.6388755
United Kingdom,GBR,1997,-4.099208
United Kingdom,GBR,1998,1.0370374
United Kingdom,GBR,1999,-1.212585
United Kingdom,GBR,2000,1.3147116
United Kingdom,GBR,2001,1.5705347
United Kingdom,GBR,2002,-3.06198
United Kingdom,GBR,2003,2.0249963
United Kingdom,GBR,2004,0.31682253
United Kingdom,GBR,2005,-0.53910613
United Kingdom,GBR,2006,-0.43706298
United Kingdom,GBR,2007,-1.4579952
United Kingdom,GBR,2008,-2.6152492
United Kingdom,GBR,2009,-9.326792
United Kingdom,GBR,2010,3.6018133
United Kingdom,GBR,2011,-8.242017
United Kingdom,GBR,2012,3.7817597
United Kingdom,GBR,2013,-2.0237923
United Kingdom,GBR,2014,-8.124638
United Kingdom,GBR,2015,-3.7251592
United Kingdom,GBR,2016,-5.451548
United Kingdom,GBR,2017,-3.020054
United Kingdom,GBR,2018,-1.9716144
United Kingdom,GBR,2019,-3.9439857
United Kingdom,GBR,2020,-10.552359
United Kingdom,GBR,2021,5.592692
United States,USA,1980,-3.9943993
United States,USA,1981,-2.5397718
United States,USA,1982,-5.102497
United States,USA,1983,-0.40227175
United States,USA,1984,5.2549124
United States,USA,1985,-0.2048254
United States,USA,1986,0.23152828
United States,USA,1987,3.4800887
United States,USA,1988,4.6590447
United States,USA,1989,1.6172528
United States,USA,1990,-0.22574663
United States,USA,1991,-1.1326075
United States,USA,1992,2.1977425
United States,USA,1993,1.9060373
United States,USA,1994,1.7339587
United States,USA,1995,1.1367798
United States,USA,1996,3.4601688
United States,USA,1997,1.3390303
United States,USA,1998,0.7935524
United States,USA,1999,1.2320518
United States,USA,2000,3.5530806
United States,USA,2001,-1.7037213
United States,USA,2002,0.6528497
United States,USA,2003,1.0735631
United States,USA,2004,1.7056108
United States,USA,2005,0.31946898
United States,USA,2006,-1.2963951
United States,USA,2007,1.2793779
United States,USA,2008,-3.50734
United States,USA,2009,-7.343775
United States,USA,2010,3.6307216
United States,USA,2011,-2.3522198
United States,USA,2012,-3.642732
United States,USA,2013,2.5461912
United States,USA,2014,0.88545084
United States,USA,2015,-2.753061
United States,USA,2016,-2.2978067
United States,USA,2017,-0.7761359
United States,USA,2018,3.1778574
United States,USA,2019,-2.1505475
United States,USA,2020,-10.404825
United States,USA,2021,6.7361593